,0
0,46.53465270996094
1,59.405941009521484
2,63.366336822509766
3,69.30693054199219
4,77.22772216796875
5,86.13861083984375
6,93.06930541992188
7,95.04950714111328
8,97.02970123291016
9,96.03960418701172
10,98.0197982788086
11,98.0197982788086
12,99.00990295410156
13,95.04950714111328
14,99.00990295410156
15,96.03960418701172
16,98.0197982788086
17,99.00990295410156
18,99.00990295410156
19,99.00990295410156
20,99.00990295410156
21,100.0
22,100.0
23,100.0
24,100.0
25,100.0
26,100.0
27,100.0
28,100.0
29,100.0
30,100.0
31,100.0
32,100.0
33,100.0
34,100.0
35,100.0
36,100.0
37,100.0
38,100.0
39,100.0
40,100.0
41,100.0
42,100.0
43,100.0
44,100.0
45,100.0
46,100.0
47,100.0
48,100.0
49,100.0
